Sysnet,POS,Predicted
b'bo\xc5\xbeanstvo koji se obo\xc5\xbeavati u Japan ',0,1
b'osnovni ose\xc4\x87anje koji se te\xc5\xa1ko definisati ali koji ljudi \xc5\xbeele da osetiti . ',1,0
b'koristiti apostrof ',0,1
b'koji jesam u dobar zdravlje telo ili duh . ',0,1
b'prizvati \xc5\xa1ta ',0,1
b'potpun kompleks stav i ube\xc4\x91enje . ',0,1
b'\xc4\x8cin ukra\xc5\xa1avanje ne\xc5\xa1to ( u nada da hteti od taj privla\xc4\x8dan izgledati ) . ',0,1
b'boja\xc5\xbeljiv o\xc4\x8dekivanje ili predvi\xc4\x91anje ',0,1
b'osobina prefinjen ugla\xc4\x91enost i dobar ukus ',1,0
b'koji mo\xc4\x87i da se desiti ili da postojati . ',1,0
b'priznati svoj vera u \xc5\xa1ta ili privr\xc5\xbeenost \xc5\xa1ta ',0,1
b'lavanda ',0,1
b'suhoperka ',0,1
b'gigantski zlogodnica ',0,1
b'Ose\xc4\x87anja pro\xc5\xbeiveti kada jesam neki u zadovoljan stanje . ',1,0
b'\xc4\x8cin proveravanje ili potvr\xc4\x91ivanje . ',0,1
b'onaj koji posedovati moralan kvalitet ; ',1,0
"b""four o'clocks """,0,1
b'imati o ne\xc5\xa1to neki mi\xc5\xa1ljenje . ',0,1
b'lajati visok ton ',0,1
b'U\xc4\x8diniti da opet biti sve\xc5\xbe . ',0,1
b'novozelandski spana\xc4\x87 . ',0,1
b'biti \xc5\xa1ta sa \xc5\xa1ta se \xc5\xa1ta mo\xc4\x87i objesiti ',0,1
b'grupno odbijanje da se pribe\xc4\x87i nasilje \xc4\x8dak i u samoodbrana . ',0,1
b'Ne\xc5\xa1to \xc5\xa1to sakrivati stvar ili ometati vidik . ',0,1
b'pona\xc5\xa1anje koji jesam u sklad sa prihva\xc4\x87en standard ',0,1
b'oklopnice ',0,1
b'koji izra\xc5\xbeavati posedovanje ',0,1
b'vrisak ',0,1
"b'presuda ( odluka ) da optu\xc5\xbeiti jesam kriv , odluka o nepostojanje krivica , o osloba\xc4\x91anje od krivica '",1,0
b'nalaziti da jesam ne\xc5\xa1to zabavno ili prijatno . ',1,0
b'autorski pseudonim ',0,1
b'LA ',0,1
b'Ose\xc4\x87anje zabrinutost . ',0,1
b'Leminzi ',0,1
"b'odrediti mera neki ili ne\xc5\xa1to , uzeti mera '",0,1
b'obrub koji se koristiti za ukra\xc5\xa1avanje ode\xc4\x87a ili zavesa ',0,1
b'osoba sa neobi\xc4\x8dan ili \xc4\x8dudan li\xc4\x8dnost ',0,1
b'gambuzija ',0,1
b'kljunoro\xc5\xa1ci ',0,1
b'bez nada ili skoro bez nada ',0,1
b'onaj koji jesam oblikovan ili disciplinovan ve\xc5\xbeba ',0,1
b'protagonista koji nemati osobina koji biti ga \xc4\x8diniti junak ( ili junakinja ) ',0,1
b'ozbiljan i svestan aktivnost s cilj da se ne\xc5\xa1to postignuti . ',0,1
b'preterano velik ',0,1
b'sirena ',0,1
b'koji se ti\xc4\x8d princip dobra i zlo ; koji se uklapati u standard pona\xc5\xa1anje i karakter koji jesam zasnovati na ovaj princip . ',1,0
b'bez prljav\xc5\xa1tina ili ne\xc4\x8disto\xc4\x87a ; onaj koji imati navika da biti \xc4\x8dist ',1,0
b'koji ne\xc5\xa1to potvr\xc4\x91ivati ',1,0
b'\xc5\xbeivac \xc4\x8diji aktivnost te\xc5\xbeiti da smanjiti aktivnost ili tonus delo telo . ',0,1
b'biti koji od velik krilni ili repni pero ptica ',0,1
b'stanje u koji jesam neki u savez . ',0,1
b'iznenadno stanje \xc5\xbeestok emocionalan uznemirenost ',0,1
b'kretati se na ljubak i ritmi\xc4\x8dan nayin . ',0,1
b'kravajac ',0,1
b'koji imati vvi\xc5\xa1e izvod ',0,1
b'mrmoti ',0,1
b'preneti ili izraziti zna\xc4\x8denje ',0,1
b'okarakterisan neprijateljstvo ili zlovolja ',0,1
b'flamingo ',0,1
b'stanje kada jesam neki prosperitetan i uspe\xc5\xa1an . ',1,0
b'majak ',0,1
b'grupa koji zadovoljavati komutativni zakon ',0,1
b'U\xc4\x8diniti da ne\xc5\xa1to biti pomaknuti prema napred . ',1,0
b'spojiti ili vezati . ',0,1
b'o \xc5\xa1ta propis ukinuti ',0,1
b'skup\xc5\xa1tina koji imati visok zakonodavna ovla\xc5\xa1enja ',0,1
b'biti stanar ; privremeno boraviti . ',0,1
b'manjak uljudnost ; nepokazivanje po\xc5\xa1tovanje prema drugi ; povre\xc4\x91ivanje ose\xc4\x87anje drugi . ',0,1
b'rad koji se obavljati sa drugi radi zajedni\xc4\x8dki ciljati ili koristiti ',1,0
"b'onaj koji se ne mo\xc4\x87i ukazati poverenje , u koji se ne mo\xc4\x87i pouzdati '",0,1
b'onaj koji postignuti velik ili nagao brzina ili uspon ',0,1
b'radnik koji jesam najamiti da obaviti posati . ',1,0
b'Osli\xc4\x87i . ',0,1
b'vatrenja\xc4\x8de ',0,1
b'proizvesti smeh . ',1,0
b'stanje biti zaposliti ili imati posati . ',1,0
b'trljati da biti se odklonio svrab . ',0,1
b'fistularija ',0,1
b'izraz na lice osoba . ',0,1
b'\xc4\x8cin koji se postignuti neki cilj . ',0,1
b'volujac ',0,1
b'ose\xc4\x87anje zapla\xc5\xa1enost ',0,1
b'propovedati jevan\xc4\x91elje ',0,1
b'Na\xc4\x8diniti neki besniti . ',0,1
b'biti \xc5\xa1ta \xc5\xa1to jesam op\xc5\xa1te prihva\xc4\x87en kao standard vrednost ili mera bogatstvo u odre\xc4\x91enoj zemlja ili region . ',0,1
b'ose\xc4\x87ati zadovoljstvo zbog ne\xc5\xa1to ',1,0
b'zlonameran zadovoljstvo ',0,1
b'biti prihvatljiv ili pristati . ',1,0
"b'odvezati i osloboditi , kao od \xc5\xa1arka . '",0,1
b'osoba koji se brina o ljudi i njihov svojina . ',1,0
"b'vrsta \xc5\xa1umski bo\xc5\xbeanstvo , Bahov branilac ; u rimski mitologija ona odgovarati fauna '",0,1
b'osobina onaj ko jesam \xc5\xa1iroko prihvatiti i \xc4\x8diji se dru\xc5\xa1tvo tra\xc5\xbeiti . ',1,0
b're\xc5\xbeuha ',0,1
b'mo\xc4\x87i se koristiti i u vremenski smisao ',1,0
b'pun ili ozna\xc4\x8den ozloje\xc4\x91enost ili zlovolja ',0,1
b'biti neki prihvatljiv ili odgovaraju\xc4\x87i . ',1,0
b'bolan ose\xc4\x87aj koji proizlaziti iz svest o nedovoljnost ili krivica ',0,1
b'koji jesam spojiti ili vezati . ',0,1
b'onaj \xc5\xa1to jesam upotrebiti . ',0,1
b'biti percipirati ili primetiti na odrediti na\xc4\x8din ',0,1
b'amfioks ',0,1
b'\xc4\x8cin dodavanje spolja\xc5\xa1nji ukras na ne\xc5\xa1to . ',0,1
b'skupina koji sara\xc4\x91ivati . ',0,1
b'Ubla\xc5\xbeavanje patnja ; pokazivanje velik dobrota prema izmu\xc4\x8den . ',1,0
"b'neraspoznatljiv , nejasan obris '",0,1
b'imati volja i namera da se izvesti neki akcija . ',0,1
b'svu\xc4\x87i ( tu\xc4\x91 ili svoj ) odje\xc4\x87u ',0,1
b'koji imati uro\xc4\x91en sklonost prema dobrota ',1,0
b'atribut vi\xc4\x91enje . ',0,1
b'\xc4\x8cin koji se ne postignuti nameravati cilj . ',0,1
b'Pomo\xc4\x87 u nevolja . ',1,0
b'koji nastajati iz \xc5\xbeelja da se doprineti blagostanje ili sre\xc4\x87a drugi . ',1,0
b'poja\xc4\x8dati ili smanjiti intenzitet ',0,1
b'oporavak ili na\xc4\x8din \xc4\x8duvanje od gubitak ili opasnost . ',1,0
"b'imati \xc5\xbeelja , \xc4\x8de\xc5\xbenja ili velik apetit za ne\xc5\xa1to . '",1,0
b'vrsta ljulja\xc5\xa1ka koji koristiti akrobata u cirkus ',0,1
"b'ustanoviti , zasnovati na zakon ili na zvani\xc4\x8dno prihva\xc4\x87en pravilo '",1,0
b'Slitina zlato koji se koristiti u stomatologija . ',0,1
b'prebaciti u svoj svojina . ',0,1
b'osoba koji falsifikovati ',0,1
b'ideal prema koji se ne\xc5\xa1to mo\xc4\x87i procenjivati ',0,1
b'Jasen . ',0,1
b'op\xc5\xa1te prihvatiti i uva\xc5\xbeiti ',1,0
b'\xc4\x8detkica koji se koristiti kao aplikator ( za nano\xc5\xa1enje boja ) ',0,1
b'umetnik koji jesam privr\xc5\xbeen ekspresionizam . ',0,1
b'u\xc4\x8diniti da okriviti u sudski postupak biti osloboditi ',0,1
b'ukloniti ne\xc5\xbeeljen supstanca iz ne\xc5\xa1to . ',0,1
"b'u\xc4\x8diniti disjunktnim , odvojen ili nepovezan '",0,1
b'uznemiriti i izazvati ga\xc4\x91enje ',0,1
b'biti prihvatljiv ili odgovaraju\xc4\x87i . ',1,0
b'ZW ',0,1
b'Re\xc4\x8d ili izraz koji se koristiti za neki odre\xc4\x91enu stvar . ',0,1
b'upozoriti na opasnost ili pozvati u stanje pripravnost . ',0,1
b'uz ',0,1
b'revnostan u posve\xc4\x87enost i privr\xc5\xbeenost ',1,0
"b'koji se \xc5\xbeeti , tra\xc5\xbeiti '",1,0
b'Aguti i ? ? ',0,1
b'biti u saglasnost . ',0,1
b'bu\xc4\x8dan zabava ',0,1
b'nedostatak dare\xc5\xbeljivost ; nesklonost da se da novac . ',0,1
b'penja\xc4\x8d ',0,1
b'kafarski bivo ',0,1
b'ose\xc4\x87anje velik utu\xc4\x8denost i melanholija ',0,1
b'osoba koji koristiti neki stvar ; neki ko koristiti ili upo\xc5\xa1ljavati ne\xc5\xa1to . ',0,1
b'u rimski mitologija boginja izobilje i plodnost ; u gr\xc4\x8dki mitologija ona odgovarati Reja ',0,1
"b'li\xc4\x8dan sloboda od ropstvo , zarobljeni\xc5\xa1tvo i ugnjetavanje '",0,1
b'gastropode koji imati ? ? ? ',0,1
b'dr\xc5\xbeanje do moralan princip ',1,0
