,ID,Definicija
164,ENG30-02679415-n,sastojak koji se dodavati nešto da ga poboljšati . 
165,ENG30-05559908-n,telesni dodatak ili deo koji ličiti na dodatak . 
166,ENG30-04454240-n,kupast dečji igračka koji se sužavati u čelični vrh na koji moći da se zavrtiti . 
167,ENG30-08377085-n,povezati niz događaj ili radnja . 
168,ENG30-13870805-n,oblik koji spajati . 
169,ENG30-03779370-n,posuda u koji se ulivati tečnost da se stvoriti dati oblik kada se stvrdnuti . 
170,ENG30-02801938-n,sud koji jesam obično plesti i imati ručak . 
171,ENG30-07458453-n,brzinski takmičenje . 
172,ENG30-08403787-n,zajednica ljudi ujedinjen u odupiranje nešto . 
173,ENG30-15123754-n,neprekidan nevreme celina ili odsečak ili niz događaj u koji nijedan deo jesam različit niti se moći razlikovati od susednih . 
174,ENG30-03709644-n,prevozni sredstvo koji voziti pošta . 
175,ENG30-03969627-n,uzica o koji jesam obesiti metalan teg koji pokazivati direktno na centar zemljin teža . 
176,ENG30-00892145-n,kurs koji se nuditi mali grupa napredan student . 
177,ENG30-03366823-n,Pokrivači za pod automobil . 
178,ENG30-03050026-n,pokrivač napraviti od tkanina 
179,ENG30-04151940-n,Pokrivač koji služiti da sakriti ili zakloniti . 
180,ENG30-03724870-n,navlaka koji prerušavati ili štititi lice . 
181,ENG30-00770270-n,Zločin manje ozbiljan od težak . 
182,ENG30-13872975-n,kriva koji stvarati presek ravan i kružan kup . 
183,ENG30-03623556-n,alat za sečenje sa oštar zašiljen metalan sečivo i sa drška . 
184,ENG30-04101497-n,cilindar koji se okretati . 
185,ENG30-08644213-n,opasno mesto . 
186,ENG30-15183428-n,Dan na koji se ne raditi po običaj ili zakon . 
187,ENG30-07389330-n,dubok dug zvuk ( kao grmljavina ) . 
188,ENG30-03800563-n,mesto za sakupljanje i prikazivanje predmet koji imati naučni ili istorijski ili umetnički vrednost . 
189,ENG30-03320046-n,naprava koji stvarati strujanje vazduh pokretanje jedan ili više površina . 
190,ENG30-03666591-n,naprava za paljenje gorivo ili naboj . 
191,ENG30-03851341-n,Uređaj za proizvodnja ili kontrola svetlost . 
192,ENG30-03111899-n,naprava za lečenje povreda ili bolest . 
193,ENG30-03277771-n,Uređaj koji ispunjavati svoj uloga na elektronski pogon . 
194,ENG30-03705379-n,Uređaj koji privlačiti gvožđe i stvarati magnetski polje . 
195,ENG30-04526964-n,Uređaj koji ubacivati svež vazduh i izbacivati prljav . 
196,ENG30-03744840-n,Uređaj koji čuvati informacija radi vraćanje podatak . 
197,ENG30-03269401-n,Uređaj koji proizvoditi ili raditi na struja . 
198,ENG30-03736970-n,Uređaj koji raditi na mehanički princip . 
199,ENG30-03720163-n,shematski prikaz zemljin površina . 
200,ENG30-00046344-n,"Teška ili neobičan majstorija , obično uraditi da se privući pažnja . "
201,ENG30-07307895-n,Pražnjenje elektricitet . 
202,ENG30-07140978-n,diskusija u koji se iznositi argument za ili protiv neki predlog . 
203,ENG30-07148192-n,diskusija čiji namera jesam da dovesti do sporazum . 
204,ENG30-02025550-v,Ići ili putovati sa neki . 
205,ENG30-02037090-v,biti pod ugao . 
206,ENG30-03464467-n,naprava smisliti da sprečiti povreda . 
207,ENG30-02185373-v,proizvoditi lagati ritmički udarac po površina . 
208,ENG30-00446493-n,bokserski nadmetanje . 
209,ENG30-04749572-n,Karakteristična razlika . 
210,ENG30-08538426-n,Zona grad ili varoš omeđen iz administrativan razlog . 
211,ENG30-13163250-n,ogranak koren ili sekundaran koren koji izniknuti iz glavnog koren biljka . 
212,ENG30-08216900-n,deo orkestar koji sadržati sav instrument isti klasa . 
213,ENG30-02731398-n,"Kupolasti ili zasvođen ogranak ili ispust na građevina , pogotovo istočni kraj crkva : obično sadržati oltar . "
214,ENG30-03581634-n,droga koji moći da proizvesti stanje opijenost . 
215,ENG30-04166553-n,lek koji smanjivati nadražljivost i smirivati osoba . 
216,ENG30-04219424-n,tkanina koji se praviti od fin vlakno koji proizvoditi larva neki insekt . 
217,ENG30-03779128-n,tkanina koji se praviti od preći dobiti od svilenkast vuna angorski koza . 
218,ENG30-01242962-n,Uzdržavanje zatvorenik od hrana kao vid protest . 
219,ENG30-03682487-n,Zatvarač prikačiti na vrata ili ladica koji ona držati čvrsto zatvoriti . 
220,ENG30-00006150-n,otac ili majka ; neki ko začeti ili roditi ili hraniti i podignuti dete ; rođak koji igrati uloga staratelj . 
221,ENG30-09992837-n,direktan ženski potomak . 
222,ENG30-13863602-n,figura koji jesam deo neki drugi figura . 
223,ENG30-05566097-n,prst na ruka ili noga kod ljudski biće ili odgovarajući deo kod drugi kičmenjak . 
224,ENG30-08572335-n,Nepomični reper na konkavan strana kupast presek . 
225,ENG30-03667380-n,telo koji davati veštački svetlo . 
226,ENG30-03074855-n,pljosnat predmet sa uzak zašiljen zub na jedan strana ; razmrsivati ili sređivati kosa . 
227,ENG30-04045397-n,ravno ploveći sredstvo ( obično napraviti od trupac ili daska ) koji se moći koristiti za transport ili kao platforma za plivač . 
228,ENG30-03640589-n,uzak put ili cesta 
229,ENG30-09923673-n,izvoran ili naturalizovan član država ili drugi politički zajednica 
230,ENG30-14024882-n,prirodan i periodićno stanje odmor tokom koji se gubiti svest o svet 
231,ENG30-09349797-n,prirodan predmet koji ličiti na mašina po struktura i funkcija 
232,ENG30-03003730-n,prirodan ili veštački zatvoren prostor 
233,ENG30-09448361-n,prirodan količina tekući voda koji teći po zemlja ili pod ona 
234,ENG30-05470189-n,prirodan izraslina iz delo organizam biti životinjski ili biljni 
235,ENG30-09624559-n,pregovarač koji služiti kao veza između parnični strana 
236,ENG30-03822171-n,novina kao fizički predmet 
237,ENG30-08466412-n,nihilistički umetnički pokret ( posebno u slikarstvo ) koji jesam dostignuti vrhunac u prvi polovina 20-og vek ; zasnovati na iracionalnost i poricanje prihvaćen zakon lepota 
238,ENG30-11418750-n,prirodan pojava koji uključivati zhive biljka i biće 
239,ENG30-13594585-n,broj koji izražavati postignuće ekipa ili osoba u igra ili takmičenje 
240,ENG30-03236735-n,jednodelna odeća za žena ; imati suknja i bluza 
241,ENG30-07956721-n,komplet od @card@ karta 
242,ENG30-03704210-n,broširan periodičan publikacija kao fizički predmet 
243,ENG30-05221895-n,deo živ biće koji imati poseban funkcija ili ga napajati dat arterija ili nerv 
244,ENG30-02728763-n,deo koji se priključivati nešto veće 
245,ENG30-08265469-n,ekipa koji učestvovati u pravni postupak 
246,ENG30-13281275-n,isplata koji se davati u redovan razmak 
247,ENG30-06892775-n,muzički događaj koji izvoditi svirač ili pevač koji ne uključivati pozorišni prikazivanje 
248,ENG30-15204983-n,period od @card@ godina 
249,ENG30-15167577-n,period neznanje ili zaostalost 
250,ENG30-00462116-n,period igra u bejzbol tokom koji svaki ekipa imati sav red na palica 
251,ENG30-15239579-n,period godina koji označavati poseban događaj ili aktivnost u neki polje 
252,ENG30-15269513-n,period vreme koji ograničavati dva trenutak 
253,ENG30-15273626-n,period vreme koji se provesti spavati 
254,ENG30-10320863-n,osoba postaviti na visoko mesto u vlada 
255,ENG30-09777012-n,poslovan čovek koji kupovati ili prodavati za drugi u zamena za provizija . 
256,ENG30-10271216-n,osoba zadužiti da paziti da li se nešto zbivati 
257,ENG30-09882007-n,osoba uključiti u trgovački ili industrijski posao 
258,ENG30-10054657-n,osoba ili firma koji zapošljavati radnik 
259,ENG30-09629752-n,osoba koji menjati mesto 
260,ENG30-10103485-n,osoba koji dolaziti iz strana zemlja 
261,ENG30-10444194-n,osoba koji pisati stih 
262,ENG30-10541833-n,osoba koji imati nadležnost nad građanski posao 
263,ENG30-10547145-n,osoba koji jesam umreti i proglasiti za svetac proces kanonizacije 
264,ENG30-10388440-n,osoba koji imati opšti vlast nad drugi 
265,ENG30-10476086-n,osoba koji jesam zatvoriti ; posebno ratni zarobljenik 
266,ENG30-09945905-n,osoba koji jesam često u društvo drugi 
267,ENG30-09632274-n,osoba koji nedostajati tehnički obuka 
268,ENG30-10352299-n,osoba koji živiti ( ili jesam smestiti ) blizu drugi 
269,ENG30-09622302-n,osoba koji voliti ili jesam voljen 
270,ENG30-10284064-n,osoba koji prav stvar 
271,ENG30-09625401-n,osoba koji dugovati pokornost taj nacija 
272,ENG30-09615807-n,osoba koji koristiti naučni znanje da rešiti praktičan problem 
273,ENG30-10042845-n,osoba sa neobičan ili čudan ličnost 
274,ENG30-10379620-n,Takmičar protiv koji se boriti . 
275,ENG30-10533013-n,"osoba , grupa , ekipa , firma itd . koji se nadmetati ili takmičiti "
276,ENG30-10640620-n,nečiji bračni drug 
277,ENG30-11480698-n,fizički pojava povezati sa ravnoteža ili kretanje predmet 
278,ENG30-11449002-n,fizički pojava koji uključivati elektricitet 
279,ENG30-11490638-n,fizički fenomen koji jesam povezati sa svetlo ili ga uključivati 
280,ENG30-03925226-n,slika osoba ili prizor u štampan ili providan oblik ; snimljen kamera na fotoosetljivom materijal 
281,ENG30-03897943-n,komad tkanina koji se koristiti za ukras ili da zakrpiti ili pokriti rupa 
282,ENG30-02818832-n,komad nameštaj koji služiti za spavanje 
283,ENG30-03179701-n,komad nameštaj sa površina za pisanje i obično ladica i drugi pregradak 
284,ENG30-08633957-n,mesto ( vazdušan ili morski ) gde ljudi i roba moći da ući ili izaći iz zemlja 
285,ENG30-03302487-n,mesto za kupovina i prodaja ; otvoreno samo za član 
286,ENG30-04053218-n,mesto za ispaljivanje ( lansiranje ili navođenje ) raznih vrsta projektil 
287,ENG30-03455033-n,"mesto za ukop leš ( posebno ispod zemlja , označiti grobnim kamen ) "
288,ENG30-05625879-n,mesto za koji se tvrditi da postojati u verski ili književan spis 
289,ENG30-08639058-n,mesto gde brod moći da ukrcavati ili iskrcavati tovar 
290,ENG30-03177349-n,mesto gde stvar moći da se ostaviti na čuvanje 
291,ENG30-08649345-n,mesto unutar zona koji se identifikovati kao relativno u odnos na centar 
292,ENG30-13886371-n,prost krivulja koji se dobijati presek konus okomit na baza 
293,ENG30-11553419-n,"biljka prvobitno uzgajati , ali sada divljati "
294,ENG30-13121544-n,"biljka koji delimično ili u celost rasti u voditi , biti da jesam ukoreniti u blato , kao lotus , ili da plutati bez koren , kao voden zumbul "
295,ENG30-02777734-n,platforma koji jesam isturiti iz zid zgrada i okružen balustrada ili ograda ili zid 
296,ENG30-07520112-n,ugodan osećaj strah 
297,ENG30-03417345-n,komad zemlja gde se uzgajati biljka 
298,ENG30-08521816-n,tačka jednako udaljiti od kraj linija ili završetak lik 
299,ENG30-08520401-n,tačka na nebo 
300,ENG30-08494987-n,"tačka na zamišljen sfera naspram koji izgledati da se nebeski telo projektovati , a prema koji izgledati da se sunce pomerati "
301,ENG30-13873213-n,tačka ili skup tačka zajednički za dva ili više geometrijski konfiguracija 
302,ENG30-03773035-n,uglačan površina koji stvarati slika odbijajući svetlo 
303,ENG30-10243137-n,uljudan ime za biti koji žena 
304,ENG30-08361329-n,politički sistem u koji vladati narod ili njegov predstavnik 
305,ENG30-08050385-n,politički organizovati celina 
306,ENG30-13883885-n,telo omeđiti poligoni 
307,ENG30-13914837-n,poliedar sa poligon u osnova i trougaonim strana sa zajedniÄkim vrh 
308,ENG30-03964495-n,prenosiv ograda u koji se moći ostaviti beba da se igrati 
309,ENG30-08584449-n,mesto pogodno da nešto sakriti ( kao osoba ) 
310,ENG30-04411264-n,prenosiv zaklon ( obično od platno razapet preko kolac i pričvršćen za zemlja pomoću užad i klin ) 
311,ENG30-13252973-n,posed čiji vlasništvo se promeniti ili isteći 
312,ENG30-03113152-n,sredstvo napraviti da ulepšati telo 
313,ENG30-03040587-n,preparat koji se koristiti za čišćenje nešto 
314,ENG30-13599348-n,propisan broj 
315,ENG30-05926676-n,predstava u um u oblik ideja ili slika 
316,ENG30-13937284-n,situacija nalik na zatvor ; mesto prividan zatočeništvo 
317,ENG30-13497135-n,proces povećavanje 
318,ENG30-13458571-n,proces umanjivanje 
319,ENG30-13465530-n,proces mešanje molekul kao rezultat slučajan toplotni uzbuđivanje 
320,ENG30-00796767-n,projekt od ličan interes za neki 
321,ENG30-05849789-n,istaknut aspekt nešto 
322,ENG30-05044528-n,svojstvo vezati za vreme 
323,ENG30-08310949-n,telo koji služiti u administrativan svojstvo . 
324,ENG30-03546766-n,zaštitni obloga za mehanički deo 
325,ENG30-01168369-n,protestni akcija radnički i manjinski grupa u cilj ispunjenje zahtev 
326,ENG30-14392318-n,psihički stanje koji karakterisati iluzija o veličina 
327,ENG30-03993703-n,javan sklonište za pas lutalica ili neregistrovan pas 
328,ENG30-09769636-n,osoba koji prosuđivati 
329,ENG30-10225219-n,javan službenik ovlastiti da odlučivati o pitanje koji se iznositi pred sud 
330,ENG30-05861067-n,količina dobijen sabiranje 
331,ENG30-13740168-n,količina bez ikakav važnost 
332,ENG30-07464083-n,trka između tim ; svaki član trčati ili plivati deo staza 
333,ENG30-07460104-n,takmičenje u trkanje po zemlja 
334,ENG30-06514093-n,zabeleška ili pripovedni opis prošli događaj 
335,ENG30-08642145-n,pravougaon zona u grad okružen ulica koji obično sadržati nekoliko zgrada 
336,ENG30-07954014-n,broj ili količina sa koji se postupati kao sa jedinica 
337,ENG30-15239292-n,odrediti vreme obeležen velik praznik 
338,ENG30-01225997-n,odbijanje da prepoznati neki koji znati 
339,ENG30-08653474-n,zona lišen materija 
340,ENG30-13783581-n,odnos između matematički izraz ( kao jednakost ili nejednakost ) 
341,ENG30-13841213-n,odnos uzajaman zavisnost ili delovanje ili uticaj 
342,ENG30-13931436-n,odnos između dvoje ljubavnik 
343,ENG30-13931765-n,odnos koji uključivati polni prisnost 
344,ENG30-02808440-n,relativno velik otvoren sud koji se puniti voda i koristiti za pranje telo 
345,ENG30-09449510-n,relativno dug i uzak komad nešto 
346,ENG30-09284589-n,ostatak ili otisak biljka ili životinja koji jesam postojati u prošli geološki razdoblje 
347,ENG30-07223170-n,vest ( često zlonameran ) o radnja drugi ljudi 
348,ENG30-03335600-n,predstava telesni oblik ( posebno osoba ) 
349,ENG30-03777283-n,predstava nešto ; obično u manjiti razmera 
350,ENG30-07190693-n,jedan zahtev 
351,ENG30-13358549-n,rezerva novac ostaviti na strana za neki svrha 
352,ENG30-03249342-n,trgovina na malo gde se prodavati lek i drugi artikl 
353,ENG30-00163406-n,promena ponašanje ili princip ili tačka gledište 
354,ENG30-05235879-n,rebroliki deo koji podupirati ili ojačavati životinja ili biljka 
355,ENG30-03533972-n,čvrst okrugao pojas od metal ili drvo ili drugi materijal koji se koristiti za drxanje ili vezivanje ili vešanje ili vuča 
356,ENG30-03244388-n,put koji voditi do privatan kuća 
357,ENG30-02807731-n,prostorija ( u nastamba ) koji sadržati kad ili tuš i obično lavabo i toalet 
358,ENG30-03619890-n,prostorija opremiti za spremanje jela 
359,ENG30-03660909-n,prostorija gde se držati knjiga 
360,ENG30-08643933-n,sigurno mesto 
361,ENG30-00143251-n,drugo ( ili sledeći ) ispitivanje 
362,ENG30-00533922-n,niz pokret stopala koji sačinjavati neki ples 
363,ENG30-08459648-n,uzastopno poređati skup stvar ili događaj ili ideja u koji jesam svaki naredni član povezati sa prethodan 
364,ENG30-00798245-n,niz delo koji težiti određenom cilj 
365,ENG30-09240621-n,niz povezan atom ( obično u organski molekul ) 
366,ENG30-09403734-n,niz planina 
367,ENG30-00768701-n,težak zločin 
368,ENG30-08266235-n,skup podatak složen u red i stubac 
369,ENG30-04350905-n,"skup odevni predmet za nošenje na otvoren , isti tkanina i boja "
370,ENG30-07985223-n,skup od dva sličan stvar koji se smatrati jedan predmet 
371,ENG30-13862282-n,oblik koji jesam stvoriti prirodan sila ; ne nastajati ljudski ruka 
372,ENG30-13864763-n,oblik koji imati jedan ili više oštar ugao 
373,ENG30-13867276-n,oblik koji poticati od krivljenje 
374,ENG30-13864965-n,oblik koji se kriviti prema unutrašnjost 
375,ENG30-13865483-n,oblik koji jesam zakriviti i bez oštar ugao 
