ID,POS,NEG,Lemme,Definicija,Vrsta
ENG30-09501527-n,0.0,0.0,Sarpedon,u grčkoj mitologiji Zevsov sin koji je postao kralj Likije; borio se na strani Trojanaca u Trojanskom ratu a ubio ga je Patroklo,n
ENG30-05868954-n,0.0,0.0,"deo,element,sastojak",apstraktna komponenta ili element,n
ENG30-01158596-a,0.0,0.0,"alkoholski,alkoholni",odnosi se na pića koja sadrže alkohol,a
ENG30-07735294-n,0.0,0.0,crni turovac,"dugačak, crni turovet",n
ENG30-06261586-n,0.0,0.0,"medijum,mas-medijum,masovni medijum",prenos informacija širokoj publici,n
ENG30-03897943-n,0.0,0.0,"zakrpa,krpa",komad tkanine koji se koristi za ukras ili da zakrpi ili pokrije rupu,n
ENG30-12927354-n,0.0,0.0,"Aleurites,rod Aleurites",tungovo dvo,n
ENG30-14600742-n,0.0,0.0,acetilen,nezasićeni gasoviti ugljovodonik koji služi za osvetljivanje i zavarivanje,n
ENG30-13128582-n,0.0,0.0,rizom,Podzemno stablo; služi kao reproduktivna struktura.,n
ENG30-00138956-n,0.0,0.0,"grabljenje,ščepavanje,hvatanje",Čin hvatanja predmeta pomoću ruke.,n
ENG30-01540697-n,0.0,0.0,"Coccothraustes,rod Coccothraustes",velike zebe,n
ENG30-07786005-n,0.0,0.0,morska plotica,"jedna od brojnih malih ravnih, jestivih riba Atlantskog okeana sa glatkom kožom",n
ENG30-00384933-n,0.0,0.0,"istupanje,povlačenje,secesija",formalno istupanje iz kakvog saveza ili federacije,n
ENG30-08168737-n,0.0,0.0,anti-komunističke zemlje,Anti-komunističke zemlje.,n
ENG30-09296804-n,0.0,0.0,Adenski zaliv,zaliv u Indijskom okeanu na ulazu u Crveno more,n
ENG30-01617443-n,0.0,0.0,"zer,bradan,brkut,žutoglava kostoberina,bradaš žutoglavi,orao bradan,Gypaetus barbatus",Najveća evroazijska ptica grabljivica; ima crno perje koje joj visi oko kljuna.,n
ENG30-07443010-n,0.0,0.0,"popadale mašne,popadale očice","Niz popadalih očica (mašni), obično na čarapi.",n
ENG30-02881193-n,0.0,0.0,zdela,"zaobljena posuda otvorena na vrhu, obično služi da serviranje hrane i voća.",n
ENG30-01840238-v,0.0,0.0,leteti,Putovati avionom.,v
ENG30-02066939-v,0.0,0.0,teći,Kretati duž nečega; o tečnostima.,v
ENG30-08836165-n,0.0,0.0,Australazija,"Australija, Novi Zeland i susedna ostrva Južnog Pacifika",n
ENG30-10555936-n,0.0,0.0,scenarista,pisac scenarija,n
ENG30-06401107-n,0.0,0.0,mesto,pasaž koji se trenutno čita,n
ENG30-07874531-n,0.0,0.0,poi,havajsko jelo od korena biljke taro pretvorenog u pastu i često puštenog da fermentira,n
ENG30-05863106-n,0.0,0.0,konvergencija,probližavanje beskonačnog red konačnoj granici,n
ENG30-04142434-n,0.0,0.0,skalpel,tanki pravi hirurški nož koji se koristi u disekciji i hirurgiji,n
ENG30-02208280-n,0.0,0.0,"pčela medarica,Apis mellifera",Društvena pripitomljena pčela koja proizvodi med.,n
ENG30-03842012-n,0.0,0.0,"poslovna zgrada,poslovni objekat",Zgrada u kojoj su kancelarije u kojim se obavlja posao.,n
ENG30-05595837-n,0.0,0.0,"glavica,capitulum",zaobljeni kraj kosti koji se uklapa u zaobljenim šupljinu druge kosti i formira zglob,n
ENG30-05492426-n,0.0,0.0,"moždana brazda,konvolucija",ispupčeni nabor na površini mozga,n
ENG30-02866183-a,0.0,0.0,podnevni,O podnevu ili što se dešava u podne.,a
ENG30-13701928-n,0.0,0.0,"kirgistanski som,KGS",osnovna novčana jedinica Kirgistana,n
ENG30-03950359-n,0.0,0.0,vile,dugi ručni alat sa oštrim široko razmaknutim zupcima za podizanje i bacanje sena,n
ENG30-06414727-n,0.0,0.0,"repetitorij,skripta",knjiga namenjena brzom i efektivnom spremanju nekog gradiva,n
ENG30-09416076-n,0.0,0.0,stena,Masa ili gruda čvrsto konsolidovane mineralne materije.,n
ENG30-02339376-n,0.0,0.0,voluharica,"Mali glodar nalik mišu iz porodice Cricetidae (posebno iz roda Microtus) koji ima čvrso telo sa kratkim repom, neupadljivim ušima; nastanjuje polja i livade.",n
ENG30-07833816-n,0.0,0.0,"francuski preliv,francuski sos za salatu,sos vinegret","sadrži ulje, sirće, senf i beli luk",n
ENG30-02802694-a,0.0,0.0,stafilokokan,o bakteriji Staphylococcus ili koji se odnosi na bakteriju Staphylococcus,a
ENG30-01760300-v,0.0,0.0,"izazvati,požeti","provocirati odgovore, kao prigovore, kritiku, aplauz itd.",v
ENG30-06377971-n,0.0,0.0,abecedarij,pesma čiji stihovi počinju slovima alfabeta u pravilnom redosledu,n
ENG30-01977701-v,0.0,0.0,ispustiti,Pustiti nešto da padne na zemlju.,v
ENG30-05556595-n,0.0,0.0,pupak,Ožiljak gde je bila privezana pupčana vrpca.,n
ENG30-07969695-n,0.0,0.0,"rod,pleme,klan,rodbina,obitelj",Grupa ljudi koji su krvno povezani ili preko braka.,n
ENG30-03842156-n,0.0,0.0,kancelarijski nameštaj,Nameštaj koji se koristi u kancelarijama.,n
ENG30-05411338-n,0.0,0.0,melatonin,hormon koji izlučuje pinealna žlezda,n
ENG30-10084043-n,0.0,0.0,žensko dete,Dete koje je ženskog pola.,n
ENG30-01862399-n,0.0,0.0,ženka sisara,Životinje koje hrane mladunce mlekom.,n
ENG30-02512053-n,0.0,0.0,riba,"Bilo koja od raznovrsnih, uglavnom hladnokrvnih vodenih kičmenjaka, koji imaju krljušti i dišu na škrge.",n
ENG30-07616046-n,0.0,0.0,zaleđeni jogurt,smrznuti dezert od zaslađenog kiselog mleka sa dodatnom aromom,n
ENG30-07405137-n,0.0,0.0,lavina,"klizanje velikih masa snega, leda i blata niz planinu",n
ENG30-00285889-n,0.0,0.0,iskorak,korak pri hodanju ili trčanju,n
ENG30-08710325-n,0.0,0.0,"Sent Džon,prestonica Antigve i Barbude,glavni grad Antigve i Barbude",glavni i najveći grad Antigve i Barbude; na ostrvu Antigva,n
ENG30-11173199-n,0.0,0.0,"Mendel,Gregor Mendel,Johan Mendel","češki prirodnjak, osnivač teorije nasleđa (1822-1884)",n
ENG30-06302967-n,0.0,0.0,univerzalni kvantifikator,logički kvantifikator iskaza koji tvrdi da je iskaz tačan za sve članove neke klase,n
ENG30-11829205-n,0.0,0.0,"prudnik,Chenopodium botrys",Evroazijska aromatična trava sa mnogo žutozelenih cvetova; lekovita biljka; naturalizovana u Severnoj Americi.,n
ENG30-12974987-n,0.0,0.0,sluzava glixva,Gola masa protoplazme koja ima karakteristike i biljaka i životinja.,n
ENG30-13208468-n,0.0,0.0,"Cheilanthes,rod Cheilanthes","Mala zimzelena parat, voderak; ponekad se smešta u porodicu Polypodiaceae ili Adiantaceae.",n
ENG30-06843017-n,0.0,0.0,"znak uzvika,uzvičnik",znak interpunkcije (!) koji se koristi nakon uzvika,n
ENG30-12615986-n,0.0,0.0,"Potamogeton,rod Potamogeton",Veliki rod vodenih biljaka koje se sreću u mirnim vodama u umerenim područjima; lišće obično pluta po vodi.,n
ENG30-05549830-n,0.0,0.0,"telo,torzo,trup",Telo ne računajući glavu i vrat i udove.,n
ENG30-15053568-n,0.0,0.0,Stanit (*),tamno sivi mineral sa metalnim sjajem koji je izvor kalaja,n
ENG30-11888621-n,0.0,0.0,"Hesperis,rod Hesperis",Dvogodišnja ili višegodišnja uspravna biljka koja ima cvetove koji mirišu noću.,n
ENG30-03019955-a,0.0,0.0,filološki,koji se odnosi na ili se bavi filologijom,a
ENG30-00400427-v,0.0,0.0,"svesti,pojednostaviti",Učiniti jednostavnijim ili lakšim ili mu smanjiti kompleksnost ili domet.,v
ENG30-07742605-n,0.0,0.0,jabuka Rimska lepotica,velika crvena jabuka koja se koristi za pečenje,n
ENG30-02722458-n,0.0,0.0,antineoplastik,"lek koji kontroliše ili ubija neoplastične ćelije, koristi se u hemoterapiji za ubijanje kancerogenih ćelija, svi imaju nepoželjne nus-efekteat may include nausea and vomiting and hair loss and suppression of bone marrow function",n
ENG30-07641581-n,0.0,0.0,palačinke sa krompirom,"Prave se od rendanog krompira, jaja i sa malo brašna.",n
ENG30-02207647-n,0.0,0.0,"vojnik,ratnik",sterilni mrav ili termit bez krila koji ima veliku glavu i jake čeljusti prilagođene za odbranu kolonije,n
ENG30-09270894-n,0.0,0.0,Zemlja,Treća planeta od Sunca; planeta na kojoj mi živimo.,n
ENG30-12348294-n,0.0,0.0,vragolić,Biljka iz roda Trapa koja rađa plod nalik orahu.,n
ENG30-01020005-v,0.0,0.0,primetiti,Pomenuti nešto.,v
ENG30-06409085-n,0.0,0.0,"disertacija,teza",rasprava koja donosi nove tačke gledišta kao rezultat istraživanja; obično je zahtev za više akademske titule,n
ENG30-01803893-n,0.0,0.0,argus fazan,veliki fazan živih boja Istočne Indije,n
ENG30-08589532-n,0.0,0.0,izohrona,zamišljena linija koja spaja tačke u kojima se nešto dogodilo u isto vreme,n
ENG30-05198321-n,0.0,0.0,suverenitet,vlada koja je slobodna od vanjske kontrole,n
ENG30-07917133-n,0.0,0.0,koktel Sazerak,"koktel od burbona sa gorkim listom, Pernodom i šećerom, služi se sa limunovom korom",n
ENG30-02233352-v,0.0,0.0,"koristiti FTP,koristiti protokol za prenos datoteka",koristiti FT protokol za prenos podataka sa jednog računara na drugi,v
ENG30-12916356-n,0.0,0.0,"Tectona,rod Tectona",Mali rod jazijskih jugoistočnih predela: tik,n
ENG30-07375781-n,0.0,0.0,izdizanje,Geološki proces najčešće uzrokovan procesima tektonike ploča kojim se pojedini delovi terena izdižu relativno u odnosu na druge ili u odnosu na referentnu ravan.,n
ENG30-13730584-n,0.0,0.0,iracionalni broj,realni broj koji se ne može pretstaviti u obliku razlomka,n
ENG30-03088558-a,0.0,0.0,"mozambijski,mozambički",koji se tiče Mozambika i njegovih ljudi,a
ENG30-00031921-n,0.0,0.0,"odnos,relacija",Apstrakcija koja pripada ili karakteriše dva entiteta.,n
ENG30-02951843-n,0.0,0.0,tenda,"Prekrivač, obično od tkanine, koji služi kao krov za zaštitu od vremenskih prilika.",n
ENG30-03081160-a,0.0,0.0,libijski,koji se tiče Libije i njenih ljudi,a
ENG30-04469514-n,0.0,0.0,trampolina,gimnastička sprava koja se sastoji od jakog platna koje je opruga pričvršćeno za metalni okvir i po kome se skače.,n
ENG30-06822831-n,0.0,0.0,brevis,dijakritički znak (u obliku malog slova u) koji se stavlja iznad vokala kako bi označio kratak zvuk,n
ENG30-06378627-n,0.0,0.0,klerihju,"duhovit, satiričan stih koji obuhvata dve rimovane strofe i pominje poznate ličnosti",n
ENG30-08286569-n,0.0,0.0,univerzitet,velika ustanova višeg učenja s raznovrsnim usmerenjima koja služi za obrazovanje za život i za struku i za dodelu zvanja,n
ENG30-12458383-n,0.0,0.0,"zumbul,carevak,jacint",Neka od brojnih višegodišnjih lukovičastih biljaka.,n
ENG30-01533169-n,0.0,0.0,"Serinus,rod Serinus",Zebe iz starog sveta: kanarinci i?,n
ENG30-02661017-n,0.0,0.0,levooka plosnaticar,plosnatica koja ima oba oka na levoj strani,n
ENG30-00276214-v,0.0,0.0,razvašariti,napraviti nered u nečemu,v
ENG30-01046006-n,0.0,0.0,"diabolatrija,demonolatrija",obožavanje đavola,n
ENG30-01283935-n,0.0,0.0,Bitka kod Leksingtona,prva bitka kojom je otpočeo Američki rat za nezavisnost (19 april 1775),n
ENG30-12641796-n,0.0,0.0,"trešnjevina,trešnjovina",Trešnjevo drvo (građa).,n
ENG30-07769102-n,0.0,0.0,Barbados ogrozd,"malo žuto ili narandžasto voće sa Barbados ogrozd kaktusa koje se koristi za poslastice, zimnicu i džemove",n
ENG30-06955706-n,0.0,0.0,gotski,izumrli istočnonemački jezik starih Gota; jedini sačvani zapis je prevod biblije biskupa Vulfile iz 4. veka,n
ENG30-07733567-n,0.0,0.0,keleraba,"sočni, jestivi plod biljke koji ima oblik repe",n
ENG30-00903309-n,0.0,0.0,radioskopija,grana medicine koja se bavi primenom raznih vrsta zračenja u cilju dijagnostikovanja i lečenja stanja odnosno bolesti.,n
ENG30-08632678-n,0.0,0.0,loksodroma,zamišljena linija na Zemljinoj provršini koja seče sve meridijane pod istim uglom; putanja kojom se kreću brodovi ili avioni koji održavaju isti pravac na komapsuaintains a constant compass direction,n
ENG30-12175797-n,0.0,0.0,"Gossypium,rod Gossypium","Zeljasto bilje, žbunje i malo drveće: pamuk",n
ENG30-07170753-n,0.0,0.0,interpretacija,Objašnjenje kao rezultat interpretiranja nečega.,n
ENG30-12386263-n,0.0,0.0,"Tamarix,rod Tamarix",Rod listopadnog žunja i drveća istočnog Mediterana i tropske Azije.,n
ENG30-02677567-v,0.0,0.0,"uključivati,uvlačiti",Angažovanje nekog kao učesnika.,v
ENG30-13697134-n,0.0,0.0,"omanski rijal,omanski real,OMR",osnovna novčana jedinica Omana,n
ENG30-02635611-a,0.0,0.0,apendikularni,"koji se odnosi ili se sastoji od nekog dodatka, priveska naročito na",a
ENG30-02854350-a,0.0,0.0,algebarski,o algebri ili koji se tiče algebre,a
ENG30-03265032-n,0.0,0.0,alat za sečenje,bilo koji alat sa oštrim sečivom kao dleto ili nož ili blanjalica ili dubač,n
ENG30-01807828-n,0.0,0.0,"poljska jarebica,obična jarebica,trčka,Perdix perdix",Uobičajena jarebica u Evropi.,n
ENG30-13783816-n,0.0,0.0,"funkcija,matematička funkcija",Takva matematička relacija koja jednom element jednog skupa pridružuje bar jedan element drugog sk,n
ENG30-10006511-n,0.0,0.0,potomak,Osoba koja za koju se smatra da potiče od nekog pretka ili rase.,n
ENG30-09814488-n,0.0,0.0,poslanica,žena koja je izabrana u skupštinu,n
ENG30-11817329-n,0.0,0.0,"Spergularia,rod Spergularia",Uglavnom primorska evroazijska zeljasta biljka: koleničica.,n
ENG30-01283208-v,0.0,0.0,"umotati,uviti,previti","Pokriti sa svih strana, recimo radi zaštite.",v
ENG30-01858989-n,0.0,0.0,"Čgnus,rod Čgnus",Rod iz familije Anatidae.,n
ENG30-01480149-v,0.0,0.0,"uloviti,uhvatiti","Uhvatiti lovljenjem, mamcima ili zamkama.",v
ENG30-00599992-v,0.0,0.0,"čitati,čuti,naučiti,otkriti,proučavati,saznati,studirati,učiti",biti učenik određenog predmeta,v
ENG30-06979249-n,0.0,0.0,južnodravidski,dravidski jezik kojim se govori pretežno u južnoj Indiji,n
ENG30-09506216-n,0.0,0.0,"polubog,polubožanstvo",biće koje je delimično smrtno delimično božansko,n
ENG30-01363288-n,0.0,0.0,"tiobakterije,sumporne bakterije",bilo koja bakterija roda Thiobacillus,n
ENG30-01825417-n,0.0,0.0,"Coraciiformes,red Coraciiformes,smrdovrane","vodomer, pupavac, kljunorožac, modrulja, pčelarica.",n
ENG30-05320764-n,0.0,0.0,"jedro sočiva,jezgro sočiva,nucleus",centralna struktura sočiva koja ima  čvršću strukturu nego okolna kora (cortex),n
ENG30-09712324-n,0.0,0.0,Gvajanac,stanovnik Gvajane ili poreklom iz Gvajane,n
ENG30-01501347-v,0.0,0.0,"oploditi,oplođivati,posejati,sejati",staviti seme u ili na (zemlju),v
ENG30-01748100-n,0.0,0.0,hauba,zaštitni prekrivač od metala koji prekriva motor,n
ENG30-07869522-n,0.0,0.0,paprikaš sa usoljenom govedinom,paprikaš koji se pravi sa usoljenom govedinom,n
ENG30-00923793-v,0.0,0.0,"pokazati,pokazivati","Ukazati na mesto, pravac, osobu ili stvari, bilo prostorno bilo figurativno.",v
ENG30-06922485-n,0.0,0.0,kočimi,jumanski jezik kojim govori narod Kočimi,n
ENG30-03806904-n,0.0,0.0,nankin,izdržljiva pamučna tkanina obično žute boje koja se proizvodila u luci Nanking u Kini,n
ENG30-02464491-a,0.0,0.0,mizoginičan,(koristi se za muškarce) koji imaju duboko ukorenjeno nepoverenje prema ženama,a
ENG30-07611267-n,0.0,0.0,flan,"francuski specijalitet, krema ili puding od mlijeka i jaja koji se peće u pećnici",n
ENG30-09369169-n,0.0,0.0,gnezdo,Struktura u kojoj životinje ležu jaja i legu svoje mlade.,n
ENG30-05594201-n,0.0,0.0,"fibula,lišnjača","tspoljašnja, manja lisna kost, od kolena do pete",n
ENG30-07643306-n,0.0,0.0,voćni žele,Ukuvano voće napravljeno od želiranog voćnog soka.,n
ENG30-08818444-n,0.0,0.0,"Republika Slovenija,Slovenija",Planinska republika u centralnoj Evropi; ranije deo Habzburške monarhije i Jugoslavije; stekla nezavisnost 1991.,n
ENG30-01958452-v,0.0,0.0,sjahati,Sići sa konja.,v
ENG30-02855089-n,0.0,0.0,fen,uređaj koji proizvodi vazdušnu struju,n
ENG30-07919055-n,0.0,0.0,Tom and Jeri piće,vruć rum sa mućenim jajima,n
ENG30-03090939-a,0.0,0.0,nikaragvanski,koji se tiče Nikaragve i njenih ljudi,a
ENG30-02708711-n,0.0,0.0,analizator,instrument koji obavlja analize,n
ENG30-05242752-n,0.0,0.0,Kupferova ćelija,"Čini 15% populacije ćelija jetre, pripada mononuklearnom fagocitnom sistemu, a ima ulogu u  fagocitozi, prezentaciji antigena, sekreciji humoralnih medijatora (TNF, IL, prostaglandini), uklanjanju eritrocita i  deponuje gvožđe, teške metale (Hg, Sn), lipide.",n
ENG30-12012897-n,0.0,0.0,rod Scorzonera,Rod uskolistih evropskih trava.,n
ENG30-13426591-n,0.0,0.0,aktivan porođaj,porođaj u kom porodilja aktivno učestvuje i sarađuje sa lekarima.,n
ENG30-05972585-n,0.0,0.0,materijalizam,(filozofija) filozofska teorija po kojoj je materija jedina realnost,n
ENG30-15173479-n,0.0,0.0,kalendar,sistem merenja vremena,n
ENG30-13497135-n,0.0,0.0,"povećanje,uvećanje,rast",proces povećavanja,n
ENG30-09569709-n,0.0,0.0,Prokrust,u grčkoj mitolgiji mitski div koji je bio lopov i ubica; on bi hvatao ljude i vezivao za gvozdeni krevet tako što i je isteyao ili im odsecao noge da bi u njega stali; ubio ga je Tezej,n
ENG30-02550296-v,0.0,0.0,"paziti,negovati,brinuti",Obezbediti negu.,v
ENG30-01030678-v,0.0,0.0,primiti,prihvatiti nekoga u versaku zajednicu,v
ENG30-07809368-n,0.0,0.0,dodatak jelima,dodatak jelu za poboljšanje ukusa,n
ENG30-07594155-n,0.0,0.0,mešavina za limunadu,fabrička mešavina za pravljenje limunade,n
ENG30-10426749-n,0.0,0.0,fotograf,Neko ko profesionalno radi fotografije.,n
ENG30-05298729-n,0.0,0.0,unutrašnji organ,Glavni organ koji je smešten unutar tela.,n
ENG30-00156601-v,0.0,0.0,"povećati se,uvećati se,uvećavati se",Postati veći po količini.,v
ENG30-06548110-n,0.0,0.0,"pečat,lettre de cachet","nalog nekada izdat od strane kralja Francuske koji je mogao da naloži zatvaranje( hapšenje) ili pogubljenje lica, pismom overenim njegovim pečatom (žigom)",n
ENG30-02385153-v,0.0,0.0,"gubiti,izgubiti,padati,pasti",izgubiti kakavu poziciju ili moć ,v
ENG30-07670433-n,0.0,0.0,slanina,leđa i bokovi svinje usoljeni i sušeni ili dimljeni; obično tanko sečeni i prženi,n
ENG30-05241662-n,0.0,0.0,"bodljikava ćelija,trnolika ćelija","ćelija u germinalnom sloju kože (stratum spinosum, sloj bodljikavih ćelija) ima mnogo bodlji i zrakaste (radijacione) procese",n
ENG30-06954461-n,0.0,0.0,"bukmol,bokmol,bokmal,riksmal,dansko-norveški",jedan od dva zvanična jezika Norveške; blizak je danskom,n
ENG30-00473799-v,0.0,0.0,"obnoviti,doterati,uglancati,uljuditi",Ostalo je još samo da se doteraju neke finese u igri plavih.,v
ENG30-02232190-v,0.0,0.0,"premestiti,premeštati",Transportovati ili poslati iz jednog mesta u drugo.,v
ENG30-02911485-n,0.0,0.0,"tampon,bafer,tampon-skladište,bafer-skladište,tampon-spremište,bafer-spremište","u računarstvu, deo RAM-a koji se privremeno koristi za podatke koji čekaju da ih uređaj preuzme; koristi se da da bi se prevazišle razlike u brzini protoka podataka između različitih komponenata računarskog sistema",n
ENG30-02240223-n,0.0,0.0,"Cimicidae,porodica Cimicidae",Porodica pljosnatih insekata bez krila koji sisaju krv.,n
ENG30-13803158-n,0.0,0.0,"aktiv,radno stanje,aktivno stanje",stanje kojim se izražava da gramatički subjekat obavlja radnju ili izaziva dešavanje koje je označeno glagolom,n
ENG30-08273843-n,0.0,0.0,"klapa,družina,ekipa",Neformalna grupa prijatelja.,n
ENG30-03049457-n,0.0,0.0,"kabinet,sobičak",mala privatna prostorija za rad ili molitvu,n
ENG30-01689411-n,0.0,0.0,puzavac,Neki iz male familije guštera koji su široko rasprostranjeni u tomplim područjima; svi su bezopasni a korisni jer uništavaju npr. insekte.,n
ENG30-08367880-n,0.0,0.0,"oblik vladavine,politički sistem",Članovi društvene organizacije koji imaju vlast.,n
ENG30-07898895-n,0.0,0.0,tokajac,mađarsko vino koje se pravi od grožđa tokaj,n
ENG30-08748076-n,0.0,0.0,Veliki Antili,grupa ostrva zapadnih Kariba,n
