X,Predicted,Real
Čin opstruiranja.,1,0
prvi privremeni zub mladunčadi (ima ih 20 kod dece),1,0
"onaj kojem se ne može ukazati poverenje, u koga se ne možemo pouzdati",0,1
loše mirisati,0,1
"Nezavistan, nije spojen ili sjedinjen.",1,0
naneti nekome nepravdu,0,1
Nesposobnost osobe da se seti ili uradi ono što obično može; često uzrokovana emoionalnom napetošću.,0,1
Čin konstruisanja nečega (kao masšinskog dela).,0,1
Posedovanje materijalnih dobara.,1,0
zlonamerno zadovoljstvo,0,1
Vrlo jaka uzica.,1,0
"Koga karakeriše ili koji pokazuje odbijanje, poricanje ili suprotstavljanje; koji nema pozitivna svojstva.",0,1
Stanje stvari koje je skoro izvan nečije mogućnosti da je reši i zahteva veliki napor da se reši ili prevaziđe.,0,1
Ispuštati vonj.,0,1
Ljudska tvorevina koju je neko stvorio.,0,1
izraz bez reči,1,0
odbaciti (dokument) kao nevažeci,0,1
Govoriti tiho ili nejasno.,1,0
koji nema noge (udove),1,0
koji oseća ili ispoljava veliko uzbuđenje ili zainteresovanost,1,0
Osobina onoga što zaslužuje poverenje.,1,0
Kvalitet onoga što je teško otkriti ili analizirati.,0,1
trop koji podrazumeva neslaganje onoga što se očekuje i što se dešava,1,0
nečiji bračni drug,1,0
javn prodaja dobara onome ko ponudi više,1,0
"Bilo kakva oštetočina na telu izazvana nasiljem, nezgodom ili prelomom.",0,1
Započeti ili voditi rat.,0,1
Nepravedno postupanje prema nekoj osobi ili grupi na osnovu predrasuda.,0,1
obilno krvarenje kao posledica povrede krvnog suda,1,0
zloupotreba javne funkcije,1,0
iznenadni masovni strah i nespokojstvo zbog očekivanih događaja,1,0
Postati nestabilan.,0,1
Odsustvo kvaliteta koji bi činili nešto vrednim ili korisnim.,0,1
Ne pridržavanje moralnim principima.,1,0
"koji misli najgore o ljudskoj prirodi i motivima; koji ima podrugljivu nevericu u, npr. u nesebičnost drugih",0,1
Čovek koji nema nikakve titule.,1,0
Proces promene u niže stanje.,0,1
okrutno ili nehumano postupanje,0,1
veoma veliki urbana celina koju obično čini više gradova,1,0
lišiti života,1,0
"Govoriti nerazgovetno, obično tihim glasom.",0,1
biti zahvaćen vatrom ili bolešću,1,0
osećanje naklonjenosti,1,0
Stanje kada je učinjen prekršaj.,0,1
Stanje bolje od ranijeg.,1,0
"Koji ne predstavlja teškoću, ne iziskuje napor.",1,0
